Исходные простые числа для деления           Количество чисел = 100
1.     р=2
2.     р=3
3.     р=5
4.     р=7
5.     р=11
6.     р=13
7.     р=17
8.     р=19
9.     р=23
10.    р=29
11.    р=31
12.    р=37
13.    р=41 
14.    р=43
15.    р=47
16.    р=53
17.    р=59
18.    р=61
19.    р=67
20.    р=71
21.    р=73
22.    р=79
23.    р=83
24.    р=89
25.    р=97
26.    р=101
27.    р=103
28.    р=107
29.    р=109
30.    р=113
31.    р=127
32.    р=131
33.    р=137
34.    р=139
35.    р=149 
36.    р=151
37.    р=157
38.    р=163
39.    р=167
40.    р=173
41.    р=179
42.    р=181
43.    р=191
44.    р=193
45.    р=197
46.    р=199
47.    р=211
48.    р=223
49.    р=227
50.    р=229
51.    р=233
52.    р=239
53.    р=241
54.    р=251
55.    р=257
56.    р=263
57.    р=269
58.    р=271
59.    р=277
60.    р=281
61.    р=283
62.    р=293
63.    р=307
64.    р=311
65.    р=313
66.    р=317
67.    р=331
68.    р=337
69.    р=347
70.    р=349
71.    р=353
72.    р=359
73.    р=367
74.    р=373
75.    р=379
76.    р=383
77.    р=389
78.    р=397
79.    р=401
80.    р=409
81.    р=419
82.    р=421
83.    р=431
84.    р=433
85.    р=439
86.    р=443
87.    р=449
88.    р=457
89.    р=461
90.    р=463
91.    р=467
92.    р=479
93.    р=487
94.    р=491
95.    р=499
96.    р=503
97.    р=509
98.    p=521
99.    p=523
100.   p=541
