id;room;name;x;y;w;h
T1;01;Стол АРМ-01;0.2;0.3;1.2;0.7
C1;01;Кресло;0.55;1.15;0.5;0.5
T2;01;Стол АРМ-02;1.6;0.3;1.2;0.7
C2;01;Кресло;1.95;1.15;0.5;0.5
T3;01;Стол АРМ-03;3.0;0.3;1.2;0.7
C3;01;Кресло;3.35;1.15;0.5;0.5
T4;01;Стол АРМ-04;4.4;0.3;1.2;0.7
C4;01;Кресло;4.75;1.15;0.5;0.5
CAB1;01;Шкаф оборудования;0.2;2.6;1.4;0.5
T5;04;Стол АРМ-05;0.15;7.25;1.2;0.65
C5;04;Кресло оператора;0.5;6.65;0.5;0.5
T6;04;Стол АРМ-06: проверка носителей;0.15;5.35;0.75;0.55
RACK1;04;Стойка SRV-01, SW-Z, UPS-01;2.15;7.35;0.6;0.8
MFP1;04;Тумба МФУ-01;2.15;5.4;0.65;0.55
SAFE1;05;Сейф;4.35;7.55;0.6;0.65
SHELF1;05;Стеллаж;3.2;6.4;0.4;1.7
SHELF2;05;Стеллаж;4.65;5.8;0.35;1.1
SHRED1;05;Шредер;3.85;7.7;0.4;0.5
MEET1;06;Стол переговоров;5.85;6.25;1.4;0.8
MC1;06;Кресло;5.9;5.65;0.5;0.5
MC2;06;Кресло;5.25;6.35;0.5;0.5
MC3;06;Кресло;5.9;7.15;0.5;0.5
MC4;06;Кресло;6.65;7.15;0.5;0.5
AG1;06;Генератор акустической защиты;5.35;8;0.4;0.25
T7;07;Стол директора;8.65;7.2;1.5;0.75
C7;07;Кресло директора;9.1;6.6;0.5;0.5
CAB2;07;Шкаф;11.35;6.55;0.5;1.6
WAIT1;02;Скамья посетителей;6.3;0.35;1.5;0.6
WAIT2;02;Место коляски;6.3;1.1;0.9;1.4
WARD1;02;Гардероб;8.55;0.3;0.4;1.2
WC1;03;Унитаз;9.4;0.3;0.4;0.7
SINK1;03;Умывальник;11.3;0.35;0.5;0.5
TURN1;03;Свободная зона разворота D=1.5;10.1;1.1;1.5;1.5
