id;room;x;y;name
K1;08;11.8;5;"Камера: вход; направление на запад"
K2;08;0.2;5;"Камера: двери серверной и архива; направление на восток"
F1;08;11.7;3.45;ОП-4
F2;01;5.8;3;ОП-4
F3;04;2.8;5.4;ОУ-2
EXIT;08;11.9;4.2;Знак выхода
PLAN;08;11.7;5.05;План эвакуации на стене
AC1;06;5.3;5.3;Акустический излучатель AZ-01, под потолком
AC2;06;8.1;8.3;Акустический излучатель AZ-01, под потолком
V1;06;5.2;6.5;Вибропреобразователь AZ-01, западная стена
V2;06;8.2;6.5;Вибропреобразователь AZ-01, восточная стена
V3;06;6.6;8.4;Вибропреобразователь AZ-01, северная стена
V4;06;7.8;8.3;Вибропреобразователь AZ-01, вентиляционный узел
RD4;08;2.15;5.05;Считыватель СКУД у двери
RD5;08;4.65;5.05;Считыватель СКУД у двери
RD6;08;7.6;5.05;Считыватель СКУД у двери
