номер;файл;размер;sha256;результат
0;0. Основа основ.docx;38654;a6de628e83ad5eb826037fff4666be021a9daec3d4a683cb7ecbfa8f39c5f0f1;"Памятка устарела: смешивает пакет подачи и общую деятельность; проверить пошлину, сроки и каналы; заменить как источник перечня новым заключением."
1;1. Заявление о предоставлении лицензии.docx;32975;f748c531c50dce18d1014fb1398d80aef2c2af35ad9a0116e8d6d0946a9cd14c;"Есть; неверные реквизиты, адрес адресата, пошлина, состав приложений и листы; подпись пустая."
2;2. Опись вложения.docx;37121;546c11308caeab0c3720ddf2ae63eec3a641cbe2da9c53a2fcbafd99cd9d15d7;"Есть; неподтверждённые вложения и устаревшие итоги 15/37; согласовать с № 31."
3;3. Решение о создании ООО.docx;36287;70cdab88e93e7893a6677c8df2b5e35173b89bbb612c999bf465ccd57154bb6a;"Есть проект решения; не заменяет устав и государственную регистрацию; подпись пустая."
4;4. Приказ о порядке обеспечения защиты конфиденциальной информации.docx;36710;1fa888dfc304c3a8557b846a4cf4f2431b999119579febde494c08826efcac13;"Есть организационный приказ № 2; уточнить полномочие руководить работами; списки доступа не представлены."
5;5. Перечень сведений конфиденциального характера.docx;36837;055d7f5d1e6b24c1e24081457b1fcbd0fcff2a972cfc1230e829d03a0c8d2eec;"Есть локальный перечень; не самостоятельное подтверждение всех требований ТЗКИ."
6;6. Справка о наличии и квалификации персонала.docx;36979;a93bbb7b0b9994c3c1498102fef848e6b41628568b6319730f8e77736455316e;"Есть сведения; нет перечисленных копий; образование Тарасенко обобщено неточно."
7;7. Гарантийное письмо о приёме на работу.docx;36330;95c4f85ec2c2f807670053c0a5b4a77f2572900079b917577235d4c3a6280a17;"Обещание приёма Котовой с 15.09.2026; не подтверждает наличие работника 01.09.2026."
8;8. Справка о материально-техническом обеспечении.docx;37125;47c9a49e5b3b5a06d0a8d214de5fccc0dff2f349249d88875172fd24f065a8c5;"Есть общие сведения; нет полной идентификации и доказательства достаточности оснащения."
9;9. Перечень сертифицированных средств защиты информации.docx;36758;b4dc708d384d3428e59b642dcbd3193f10aba88a8ab986cab13dd7c673e30814;"Нет заявленных пяти копий сертификатов; сведения о действительности не подтверждены."
10;10. Договор аренды нежилого помещения.docx;36863;f41eecd2e5fb40834387a9f2dd41357e175efedaa422cda3e76716e9aaef733a;"Есть договор; нет подписей и предусмотренного акта передачи помещения."
