Номер в перечне2024;Наименование из перечня;Выбранные работы;Результат сверки;Актуальность
1;Положение о лицензировании деятельности по технической защите конфиденциальной информации. Утверждено Постановлением Правительства Российской Федерации от 3 февраля 2012 г. N 79;а, б, г, е;"Есть ссылки в документах; актуальный текст скачан при проверке";Редакцию и замену проверять при комплектовании
2;Положение о системе сертификации средств защиты информации (с изменениями, утвержденными приказом ФСТЭК России от 5 августа 2021 г. N 121 и приказом ФСТЭК России от 19 сентября 2022 г. N 172). Утверждено приказом ФСТЭК России от 3 апреля 2018 г. N 55.;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
3;Базовая модель угроз безопасности персональных данных при их обработке в информационных системах персональных данных. Утверждена ФСТЭК России 15 февраля 2008 г. Для служебного пользования;а, б, г;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
4;Состав и содержание организационных и технических мер по обеспечению безопасности персональных данных при их обработке в информационных системах персональных данных (с изменениями, утвержденными приказом ФСТЭК России от 23 марта 2017 г. N 49 и приказом ФСТЭК России от 14 мая 2020 г. N 68). Утверждены приказом ФСТЭК России от 18 февраля 2013 г. N 21;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
5;Меры защиты информации в государственных информационных системах. Утверждены ФСТЭК России 11 февраля 2014 г.;а, б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
6;Порядок организации и проведения работ по аттестации объектов информатизации на соответствие требованиям о защите информации ограниченного доступа, не составляющей государственную тайну. Утвержден приказом ФСТЭК России от 29 апреля 2021 г. N 77;а, б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
7;Сборник методических документов по технической защите информации ограниченного доступа, не содержащей сведений, составляющих государственную тайну, в волоконно-оптических системах передачи. Утвержден приказом ФСТЭК России от 15 марта 2012 г. N 27. Для служебного пользования;а, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
8;Руководство по организации процесса управления уязвимостями в органе (организации). Утверждено ФСТЭК России 17 мая 2023 г.;б, г;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
9;Регламент включения информации об уязвимостях программного обеспечения и программно-аппаратных средств в Банк данных угроз безопасности информации ФСТЭК России. Утвержден приказом ФСТЭК России от 26 июня 2018 г.;б, г;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
10;Требования о защите информации, не составляющей государственную тайну, содержащейся в государственных информационных системах (с изменениями, утвержденными приказом ФСТЭК России от 15 февраля 2017 г. N 27, приказом ФСТЭК России от 28 мая 2019 г. N 106 и приказом ФСТЭК России от 28 августа 2024 г. N 159). Утверждены приказом ФСТЭК России от 11 февраля 2013 г. N 17;б, г, е;"Не указано в приложении № 7; отдельный исходный файл не найден";Редакцию и замену проверять при комплектовании
